Recipe Name,Ingredients,Steps,Nutrition Tags,Cooking Time
Curd Rice,"rice, curd, mustard seeds, curry leaves","Cook rice. Mix with curd. Add tempered spices.","Low Calorie","10 mins"
Lemon Rice,"rice, lemon juice, mustard seeds, curry leaves","Cook rice. Add lemon juice and tempered spices.","Vitamin C Rich","15 mins"
Fried Rice,"rice, vegetables, soy sauce","Stir-fry veggies. Add rice and sauces.","Medium Carb","20 mins"
Vegetable Upma,"rava, vegetables, mustard seeds, curry leaves","Roast rava. Cook veggies. Add water.","High Fiber","20 mins"
Idli Upma,"leftover idli, mustard, onion, curry leaves","Crumble idli. Fry with spices.","Gluten Free","10 mins"
Bread Upma,"bread, onion, tomato, spices","Tear bread. Fry with veggies.","Medium Calorie","15 mins"
Vegetable Paratha,"wheat flour, vegetables, spices","Make dough. Fill with veggie mix. Cook on tawa.","High Carb","25 mins"
Rice Pakora,"leftover rice, gram flour, spices","Mix. Fry small balls till crispy.","Deep Fried","20 mins"
Egg Fried Rice,"rice, egg, vegetables","Cook egg. Mix with rice and veggies.","High Protein","15 mins"
Chappathi Rolls,"chapathi, filling (veg/non-veg)","Roll chapathi with filling.","Balanced","10 mins"
Dosa Pizza,"dosa batter, toppings, cheese","Cook dosa, add toppings and cheese.","Fusion Food","15 mins"
Masala Toast,"bread, potato, onion, spices","Prepare masala. Stuff and toast.","Snack Item","12 mins"
Oats Chilla,"oats, onion, coriander, spices","Mix oats paste. Cook like dosa.","High Fiber","15 mins"
Egg Sandwich,"bread, boiled egg, mayo, spices","Mix filling. Make sandwich.","Protein Rich","10 mins"
Aval Masala Cutlet,"aval (flattened rice), potato, spices","Mix. Shape and shallow fry.","Low Oil","20 mins"
Roti Noodles,"leftover roti, capsicum, sauces","Cut roti. Fry with sauces like noodles.","Indo-Chinese","15 mins"
Banana Pancake,"banana, wheat flour, milk","Mash banana. Add flour & milk. Cook on pan.","Sweet Dish","15 mins"
Chapati Lasagna,"leftover chapati, veggies, sauce, cheese","Layer and bake like lasagna.","Fusion","25 mins"
Egg Bhurji Chapati,"egg bhurji, chapati","Fill bhurji in chapati and roll.","Quick Protein Meal","10 mins"
Pulao with Left Rice,"cooked rice, spices, veggies","Fry spices. Add rice & veggies.","Quick Lunch","20 mins"
Bread Pudding,"bread, milk, sugar, cardamom","Soak bread in milk. Bake with flavor.","Dessert","25 mins"
Chapati Chips,"chapati, oil, masala","Cut chapati. Fry or bake.","Snack","10 mins"
Stuffed Capsicum Rice,"rice, capsicum, onion, spices","Stuff capsicum with rice. Bake or fry.","Fiber Rich","25 mins"
Kerala Egg Roast,"boiled egg, onion, tomato, curry leaves, spices","Sauté masala. Add eggs. Simmer till coated.","Protein, Spicy","25 mins"
Leftover Rice Balls,"rice, mashed potato, spices, bread crumbs","Mix all. Shape balls. Shallow/deep fry.","Crispy Snack","20 mins"
Vegetable Khichdi,"rice, lentils, vegetables, spices","Cook rice & lentils with veggies.","Light Meal","25 mins"
Paneer Bhurji,"paneer, onion, tomato, spices","Crumble paneer. Cook with masala.","High Protein","15 mins"
Tomato Rice,"rice, tomato puree, spices","Cook rice with tomato sauce and spices.","Vitamin C Rich","20 mins"
Cabbage Thoran,"cabbage, coconut, mustard, green chili","Shred cabbage. Stir-fry with coconut and spices.","Low Calorie","15 mins"
Spinach Paratha,"wheat flour, spinach, spices","Make dough with spinach. Roll and cook.","Iron Rich","20 mins"
Leftover Veg Soup,"mixed vegetables, spices, stock","Boil veggies in stock. Blend if needed.","Low Calorie","15 mins"
Rava Idli,"rava, yogurt, ENO","Mix rava batter. Steam in molds.","Low Fat","20 mins"
Vegetable Cutlet,"potato, carrot, peas, breadcrumbs, spices","Mix, shape, and shallow fry.","Snack","20 mins"
Leftover Chapati Upma,"chapati, onion, tomato, spices","Tear chapati. Fry with veggies and spices.","Medium Calorie","15 mins"
Egg Toast,"bread, egg, butter, spices","Toast bread. Cook egg on top.","Quick Meal","10 mins"
